1,liu,132.100.30.29,2022/8/27,10,10,54,GET pianhua/130 HTTP/1.0,https://www.so.com/s?q=milk,404,"['Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/19.77.34.5 Safari/537.1']"
2,wang,187.143.124.10,2022/8/27,15,39,39,GET toukouxu/821 HTTP/1.0,https://www.sogou.com/web?qu=teacher,404,"['Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3']"
3,zhang,100.124.167.156,2022/8/27,19,8,55,GET www/6 HTTP/1.0,http://cn.bing.com/search?q=milk,404,['Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.1) Gecko/20090624 Firefox/3.5']
4,li,132.30.124.29,2022/8/27,12,5,18,GET www/3 HTTP/1.0,https://www.so.com/s?q=teacher,404,"['Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3']"
5,wang,187.29.10.124,2022/8/27,21,48,42,GET www/4 HTTP/1.0,https://www.sogou.com/web?qu=monkey,200,['Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0']
6,yan,132.143.29.100,2022/8/27,9,16,3,GET www/6 HTTP/1.0,https://www.sogou.com/web?qu=teacher,200,"['Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/20.0.1090.0 Safari/536.6']"
7,li,124.29.143.100,2022/8/27,21,59,1,GET www/2 HTTP/1.0,https://www.sogou.com/web?qu=monkey,404,"['Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3']"
8,li,30.124.156.29,2022/8/27,8,50,23,GET www/1 HTTP/1.0,https://www.sogou.com/web?qu=monkey,200,"['Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/22.0.1207.1 Safari/537.1']"
9,liu,29.187.100.132,2022/8/27,0,19,15,GET pianhua/130 HTTP/1.0,http://cn.bing.com/search?q=teacher,404,"['Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3']"
10,wang,132.167.156.143,2022/8/27,6,30,25,GET toukouxu/821 HTTP/1.0,https://www.baidu.com/s?wd=milk,200,['Opera/9.80 (Android 2.3.4; Linux; Opera mobi/adr-1107051709; U; zh-cn) Presto/2.8.149 Version/11.10']
11,liu,30.100.29.124,2022/8/27,11,57,31,GET www/2 HTTP/1.0,https://www.so.com/s?q=milk,200,"['Mozilla/5.0 (X11; CrOS i686 2268.111.0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11']"
